Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
17,Xyleborus bispinatus,Fungi,Isaria fumosorosea,,pathogen,laboratory,,,undetermined,commercial strain,,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
18,Scolytus multistriatus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
19,Scolytus ratzeburgi,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
20,Scolytus scolytus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
21,Scolytus laevis,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
22,Polygraphus poligraphus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
23,Hylurgops palliatus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
24,Hylastes opacus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
25,Dryocoetes autographus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
26,Leperesinus fraxini,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
27,Ips amitinus,Fungi,Beauveria bassiana,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
28,Ips typographus,Fungi,Isaria farinosa,,,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
29,Ips acuminatus,Fungi,Beauveria bassiana,Poland,pathogen,,,,,,,,"Balazy et al., 1987",1987,only English abstract,"Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745."
30,Ips acuminatus,Nematode,Contortylenchus acuminati,Poland,associate,,,,,,,,"Balazy et al., 1987",1987,only English abstract,"Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745."
31,Scolytus multistriatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
32,Scolytus ratzeburgi,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
33,Scolytus scolytus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
34,Scolytus laevis,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
35,Polygraphus poligraphus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
36,Hylurgops palliatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
37,Hylastes opacus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
38,Dryocoetes autographus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
39,Leperesinus fraxini,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
40,Ips amitinus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
41,Crypturgus pusillus,Fungi,Lecanicillium lecanii,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
42,Scolytus spp.,Fungi,Beauveria densa,Poland,,,,,,,,,"Balazy, 1962",1962,,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
43,Polygraphus poligraphus,Fungi,Lecanicillium lecanii,Poland,pathogen,,,,,,,,"Balazy, 1963",1963,only English abstract,"Bałazy, S., 1963. The fungus Cephalosporium (Acrostalagmus) lecanii Zimm., a pathogen of beetle larvae. Acta Societatis Botanicorum Poloniae 32, 69–80."
44,Scolytus ratzeburgi,Fungi,Lecanicillium lecanii,Poland,pathogen,,,,,,,,"Balazy, 1963",1963,only English abstract,"Bałazy, S., 1963. The fungus Cephalosporium (Acrostalagmus) lecanii Zimm., a pathogen of beetle larvae. Acta Societatis Botanicorum Poloniae 32, 69–80."
45,Scolytus multistriatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
46,Scolytus ratzeburgi,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
47,Scolytus scolytus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
48,Scolytus laevis,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
49,Polygraphus poligraphus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
50,Hylurgops palliatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
51,Hylastes opacus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
52,Dryocoetes autographus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
53,Leperesinus fraxini,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
54,Ips amitinus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1965",1965,,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
55,Scolytus multistriatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
56,Scolytus ratzeburgi,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
57,Scolytus scolytus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
58,Scolytus laevis,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
59,Polygraphus poligraphus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
60,Hylurgops palliatus,Fungi,Beauveria bassiana,Poland,,,,,,,,,"Balazy, 1966",1966,,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
