Records ID,Beetle Host,categories,pathogens,country or region,ecological relationship,experimental conditions,,identification method,infection site,organism source,,validation type,source,year,full text,reference
252,Ips amitinus,Fungi,Metschnikowia sp.,Austria,pathogen,,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
253,Hylastes cunicularius,Microsporidia,Malamoeba cf. scolyti,Austria,pathogen,,,,malpighian tubules,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
254,Hylastes cunicularius,Protist,Gregarina hylastidis,Austria,pathogen,,,,midgut lumen,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
255,Hylurgops palliatus,Microsporidia,Malamoeba scolyti,Austria,pathogen,,,,malpighian tubules,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
256,Hylurgops palliatus,Microsporidia,Nosema-type microsporidium,Austria,pathogen,,,,midgut epithelium; fat body,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
257,Hylurgops glabratus,Protist,Gregarina cf. typographi,Austria,pathogen,,,,midgut lumen,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
258,Polygraphus poligraphus,Virus,Entomopoxvirus-like particles,Austria,pathogen,,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
259,Polygraphus poligraphus,Microsporidia,Unikaryon polygraphi,Austria,pathogen,,,,midgut epithelium; malpighian tubules; fat body; gonads,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
260,Dryocoetes autographus,Microsporidia,Malamoeba scolyti,Austria,pathogen,,,,midgut epithelium; malpighian tubules,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
261,Dryocoetes autographus,Protist,Gregarina typographi,Austria,pathogen,,,,midgut lumen,evaluation of pathogen infections of emerged beetles,,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
262,Ips typographus,Fungi,Metschnikowia typographi,,,,,,,,,,"Händel, 2001",2001,,"Händel U. 2001. Untersuchungen zum Gegenspielerkomplex assoziiert lebender Fichtenborkenkäfer (Col., Scolytidae) aus naturnahen und sekundären Fichtenbeständen unter besonderer Berücksichtigung der Pathogene. PhD thesis, Universität für Bodenkultur Wien."
263,Ips amitinus,Fungi,Metschnikowia typographi,,,,,,,,,,"Händel, 2001",2001,,"Händel U. 2001. Untersuchungen zum Gegenspielerkomplex assoziiert lebender Fichtenborkenkäfer (Col., Scolytidae) aus naturnahen und sekundären Fichtenbeständen unter besonderer Berücksichtigung der Pathogene. PhD thesis, Universität für Bodenkultur Wien."
264,Dendroctonus frontalis,Fungi,Beauveria sp.,,,,,,,,,,"Harrar and Martland, 1940",1940,only English abstract,"Harrar, J. G., & Martland, J. G. (1940). A fungous Parasite of the Pine Bark Beetle."
265,Ips avulsus,Nematode,Parasitylenchus avulsi,United States,parasite,,,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
266,Ips calligraphus,Nematode,Contortylenchus elongatus,United States,parasite,,,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
267,Ips calligraphus,Nematode,Parasitaphelenchus sp.,United States,parasite,,,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
268,Ips grandicollis,Nematode,Contortylenchus grandicolli,United States,parasite,,,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
269,Ips duplicatus,Microsporidia,Larssoniella duplicati,Poland,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
270,Ips duplicatus,Microsporidia,Larssoniella duplicati,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
271,Ips duplicatus,Fungi,Pichia sp.,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
272,Ips typographus,Fungi,Pichia sp.,Poland,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
273,Ips typographus,Fungi,Pichia sp.,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
274,Ips typographus,Protist,Gregarina typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
275,Ips duplicatus,Protist,Gregarina typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
276,Ips typographus,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
277,Ips duplicatus,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
278,Ips typographus,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
279,Ips duplicatus,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2007",2007,full text,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
280,Ips typographus,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
281,Ips duplicatus,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
282,Ips typographus,Microsporidia,Nosema typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
283,Ips typographus,Protist,Menzbieria chalcographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
284,Ips duplicatus,Microsporidia,Larssoniella duplicati,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
285,Ips typographus,Protist,Gregarina typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
286,Ips duplicatus,Protist,Gregarina typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2009",2009,full text,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
287,Ips cembrae,Microsporidia,Chytridiopsis typographi,Austria,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
288,Ips cembrae,Microsporidia,Chytridiopsis typographi,Poland,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
289,Ips cembrae,Microsporidia,Chytridiopsis typographi,Hungary,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
290,Ips cembrae,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
291,Ips cembrae,Protist,Gregarina typographi,Austria,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
292,Ips cembrae,Protist,Gregarina typographi,Hungary,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
293,Ips cembrae,Protist,Mattesia schwenkei,Hungary,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
294,Ips cembrae,Microsporidia,Nosema sp.,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
295,Ips cembrae,Microsporidia,Nosema sp.,Poland,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
296,Ips cembrae,Fungi,Fusarium sp.,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2013",2013,full text,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
297,Ips amitinus,Microsporidia,Microsporidium sp.,Austria,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
298,Ips amitinus,Microsporidia,Chytridiopsis cf. typographi,Austria,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
299,Ips amitinus,Protist,Gregarina cf. typographi,Austria,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
300,Ips amitinus,Virus,ItEPV,Austria,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
301,Ips amitinus,Fungi,Metschnikowia typographi,Austria,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
302,Ips amitinus,Protist,Gregarina cf. typographi,Czech Republic,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
303,Ips amitinus,Microsporidia,Nosema cf. typographi,Czech Republic,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
304,Ips amitinus,Microsporidia,Chytridiopsis cf. typographi,Czech Republic,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
305,Ips amitinus,Virus,ItEPV,Finland,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
306,Ips amitinus,Microsporidia,Chytridiopsis cf. typographi,Finland,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
307,Ips amitinus,Fungi,Metschnikowia typographi,Finland,occurrence survey,,,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
308,Orthotomicus erosus,Microsporidia,Chytridiopsis sp.,Hungary,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
309,Orthotomicus erosus,Nematode,gut nematodes,Hungary,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
310,Orthotomicus erosus,Nematode,haemolyph nematodes,Hungary,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
311,Orthotomicus erosus,Microsporidia,Chytridiopsis sp.,Austria,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
312,Orthotomicus erosus,Protist,Gregarina sp.,Austria,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
313,Orthotomicus erosus,Protist,Mattesia sp.,Austria,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
314,Orthotomicus laricis,Nematode,Contortylenchus laricis,Czech Republic,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
315,Orthotomicus laricis,Nematode,haemolyph nematodes,Czech Republic,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
316,Orthotomicus laricis,Protist,Gregarina sp.,Czech Republic,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
317,Orthotomicus laricis,Nematode,gut nematodes,Czech Republic,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
318,Orthotomicus laricis,Nematode,Contortylenchus laricis,Poland,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
319,Orthotomicus laricis,Nematode,haemolyph nematodes,Poland,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
320,Orthotomicus laricis,Microsporidia,Chytridiopsis sp.,Austria,pathogen,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
321,Orthotomicus nobilis,Nematode,gut nematodes,Spain,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
322,Orthotomicus nobilis,Nematode,haemolyph nematodes,Spain,,,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
323,Scolytus multistriatus,Fungi,Beauveria bassiana,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
324,Scolytus multistriatus,Fungi,Cordyceps militaris,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
325,Scolytus multistriatus,Fungi,Metarhizium anisopliae,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
326,Scolytus multistriatus,Fungi,Hirsutella thompsonii,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
327,Scolytus multistriatus,Fungi,Nomuraea rileyi,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
328,Scolytus multistriatus,Fungi,Paecilomyces farinosus,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
329,Scolytus multistriatus,Fungi,Paecilomyces fumoso-roseus,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
330,Scolytus multistriatus,Fungi,Verticillium lecanii,,,laboratory,,,,,,pathogenicity test,"Houle et al., 1987",1987,full text,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
331,Hylurgus ligniperda,Nematode,Steinernema feltiae,China,,laboratory,,,,,,pathogenicity test,"Hu et al., 2004",2004,full text,Study on the biological control of Steinernema feltiae against Hylurgus ligniperda on the entry log
332,Scolytidae sp.,Fungi,Beauveria caledonica,China,,laboratory,,,,isolated from cadaver,,,"Huang et al., 2007",2007,full text,A new record of Beauveria isolated from Scolytidae in China
333,Dendroctonus ponderosae,Fungi,Beauveria bassiana,Canada,,,,,,,,,"Hunt et al., 1984",1984,full text,"Hunt, D. W. A., Borden, J. H., Rahe, J. E., & Whitney, H. S. (1984). Nutrient-mediated germination of Beauveria bassiana conidia on the integument of the bark beetle Dendroctonus ponderosae (Coleoptera: Scolytidae). Journal of Invertebrate Pathology, 44(3), 304-314."
